epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.8697,1.58189,2.48055,1.16908,0.00679,0.96931,0.01283,0.00695,1.24257,3.54644,1.03394,0.000652482,0.000652482,0.000652482
2,53.1594,1.50415,1.60454,1.15215,0.76101,0.47234,0.64818,0.35588,1.45434,2.40256,1.23211,0.00129303,0.00129303,0.00129303
3,62.3849,1.46462,1.46664,1.16001,0.55387,0.56837,0.54636,0.29475,1.44201,1.99488,1.21766,0.00190718,0.00190718,0.00190718
4,71.7027,1.48108,1.37921,1.16075,0.73869,0.67263,0.76118,0.4028,1.53291,1.6259,1.21025,0.0018812,0.0018812,0.0018812
5,81.0824,1.45466,1.24872,1.16431,0.772,0.73608,0.80583,0.44351,1.43046,1.90309,1.22821,0.0018416,0.0018416,0.0018416
6,90.4993,1.38957,1.13578,1.12624,0.87321,0.85678,0.90517,0.55956,1.3313,1.11571,1.14384,0.001802,0.001802,0.001802
7,99.8704,1.38718,1.09413,1.12332,0.87757,0.82494,0.89641,0.57392,1.22424,1.10367,1.09306,0.0017624,0.0017624,0.0017624
8,109.132,1.30993,1.02577,1.1012,0.91096,0.88747,0.93903,0.61672,1.14649,0.90725,1.06867,0.0017228,0.0017228,0.0017228
9,118.351,1.29459,0.94456,1.07341,0.91436,0.87377,0.9449,0.60685,1.21074,0.9067,1.06476,0.0016832,0.0016832,0.0016832
10,127.582,1.28654,0.93679,1.09528,0.87191,0.88235,0.92051,0.59629,1.19665,0.91919,1.06484,0.0016436,0.0016436,0.0016436
11,136.666,1.26951,0.91242,1.07899,0.90647,0.89229,0.94603,0.61437,1.19489,0.80661,1.043,0.001604,0.001604,0.001604
12,145.718,1.22475,0.85318,1.05507,0.94157,0.90674,0.96558,0.6506,1.14283,0.77085,1.06633,0.0015644,0.0015644,0.0015644
13,154.747,1.20873,0.83853,1.05062,0.96191,0.8977,0.9651,0.67263,1.07398,0.72336,1.01611,0.0015248,0.0015248,0.0015248
14,164.021,1.23152,0.8046,1.04057,0.92583,0.92072,0.96661,0.67367,1.06402,0.70145,1.00663,0.0014852,0.0014852,0.0014852
15,173.195,1.20136,0.79234,1.04292,0.91776,0.91328,0.95834,0.64723,1.09328,0.7402,1.01866,0.0014456,0.0014456,0.0014456
16,182.43,1.18394,0.78908,1.0382,0.94675,0.89003,0.9671,0.6556,1.07287,0.69606,1.034,0.001406,0.001406,0.001406
17,191.706,1.17479,0.77063,1.03215,0.93008,0.8798,0.95594,0.65654,1.06242,0.70993,1.00231,0.0013664,0.0013664,0.0013664
18,200.883,1.18064,0.77509,1.03822,0.94783,0.92926,0.9677,0.65626,1.10589,0.67481,1.01681,0.0013268,0.0013268,0.0013268
19,209.961,1.17964,0.74722,1.02741,0.90496,0.91304,0.9507,0.59136,1.2504,0.73703,1.05973,0.0012872,0.0012872,0.0012872
20,219.089,1.16092,0.7558,1.03871,0.9487,0.89856,0.96893,0.64781,1.08264,0.68089,1.0034,0.0012476,0.0012476,0.0012476
21,228.176,1.14258,0.7418,1.02226,0.9728,0.8977,0.97772,0.66996,1.08506,0.65929,1.01311,0.001208,0.001208,0.001208
22,237.31,1.16028,0.7118,1.01627,0.93575,0.92327,0.96758,0.65354,1.1045,0.6594,1.01774,0.0011684,0.0011684,0.0011684
23,246.402,1.12263,0.71964,1.0253,0.98113,0.93106,0.98056,0.69156,1.01932,0.60121,0.99238,0.0011288,0.0011288,0.0011288
24,255.657,1.11016,0.70657,1.00314,0.96367,0.94986,0.98399,0.66901,1.09786,0.62805,1.00773,0.0010892,0.0010892,0.0010892
25,264.755,1.10105,0.69948,0.99982,0.97321,0.92892,0.97714,0.70075,1.00595,0.60866,0.99526,0.0010496,0.0010496,0.0010496
26,273.898,1.08977,0.66092,0.99625,0.9588,0.9524,0.98334,0.69755,1.02767,0.58913,0.98983,0.00101,0.00101,0.00101
27,283.008,1.06443,0.65272,0.98584,0.97715,0.91816,0.97766,0.69557,1.02375,0.60008,0.99198,0.0009704,0.0009704,0.0009704
28,292.195,1.10516,0.6841,1.00902,0.96874,0.92583,0.98098,0.69755,0.99447,0.60376,0.98092,0.0009308,0.0009308,0.0009308
29,301.235,1.08547,0.67872,0.9965,0.95381,0.95068,0.97923,0.67478,1.07323,0.61457,1.01826,0.0008912,0.0008912,0.0008912
30,310.386,1.07366,0.67107,0.98789,0.97758,0.95141,0.97798,0.71553,0.97164,0.5592,0.97244,0.0008516,0.0008516,0.0008516
31,319.62,1.02458,0.62195,0.97387,0.95533,0.94629,0.97794,0.70358,0.97894,0.57826,0.97574,0.000812,0.000812,0.000812
32,328.874,1.08178,0.65152,0.99519,0.97302,0.92234,0.97711,0.69393,1.02175,0.58359,0.98198,0.0007724,0.0007724,0.0007724
33,338.016,1.02228,0.62748,0.97513,0.97282,0.93606,0.97762,0.69094,1.01175,0.56765,0.98199,0.0007328,0.0007328,0.0007328
34,347.102,1.03277,0.61579,0.96461,0.96406,0.93606,0.98104,0.70269,0.97496,0.56989,0.96407,0.0006932,0.0006932,0.0006932
35,356.239,1.02914,0.61791,0.96526,0.98144,0.94663,0.98309,0.69951,1.01067,0.55328,0.97471,0.0006536,0.0006536,0.0006536
36,365.475,1.02399,0.61295,0.96859,0.97042,0.94118,0.98232,0.71438,0.93963,0.52176,0.9506,0.000614,0.000614,0.000614
37,374.65,1.03622,0.60904,0.96241,0.95873,0.95063,0.98404,0.73192,0.91853,0.53099,0.94638,0.0005744,0.0005744,0.0005744
38,383.819,1.01009,0.59255,0.95737,0.97819,0.94118,0.98412,0.70998,0.97351,0.5304,0.96151,0.0005348,0.0005348,0.0005348
39,392.862,0.99552,0.58149,0.96358,0.98393,0.93973,0.98541,0.72309,0.93565,0.5225,0.95857,0.0004952,0.0004952,0.0004952
